docker compose exec webapp vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7 37   8120 7385488 1526580 4760656    0    0     3   102   12   20  1  1 98  0  0
27 100   8120 7351520 1526580 4763144    0    0     0   636 23845 40943 29 46 11 13  0
23  0   8120 7341352 1526584 4764336    0    0     0  4836 22411 40253 28 44 15 12  0
27 14   8120 7331708 1526584 4766524    0    0     0  3024 21356 38069 24 39 13 24  0
20 43   8120 7305956 1526588 4767572    0    0     0   740 22071 39037 28 46 12 14  0
 6 319   8120 7305076 1526588 4768816    0    0     0   736 22620 39457 25 39  9 27  0
16 10   8120 7256100 1526592 4770464    0    0     0   628 22891 41673 25 42 18 14  0
17 114   8120 7244744 1526592 4772588    0    0     0  8716 22241 39207 26 46  8 20  0
255 148   8120 7234108 1526592 4774176    0    0     0  1092 22544 40537 24 40 14 23  0
27 30   8120 7216144 1526592 4775416    0    0     0   964 20375 36155 24 36 21 18  0
43  0   8120 7205200 1526596 4776732    0    0     0  4736 21636 38640 30 47 10 13  0
 3 20   8120 7198000 1526600 4777900    0    0     0  1652 20816 37099 20 37 23 20  0
41 233   8120 7158408 1526604 4778628    0    0     0  1556 23086 41743 30 42  5 23  0
 3  0   8120 7147956 1526608 4780248    0    0     0   960 21101 38109 23 43 11 22  0
90  1   8120 7138440 1526608 4781128    0    0     0  1776 17177 30805 19 35 18 28  0
27  0   8120 7135404 1526616 4781936    0    0     0  1244 18388 33286 24 39 24 14  0
24  0   8120 7115044 1526624 4783036    0    0     0 21256 23363 40699 28 45  7 20  0
31 171   8120 7102524 1526628 4784028    0    0     0  1056 23155 40410 23 39  4 33  0
22  0   8120 7088312 1526628 4785436    0    0     0  1016 20557 36340 21 36 22 21  0
12  0   8120 7084640 1526632 4786472    0    0     0  1900 23505 41981 24 40  2 34  0
20 248   8120 7049688 1526636 4788124    0    0     0  1088 19424 33353 26 39  7 27  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  8   8120 7028420 1526640 4788796    0    0     0 14120 22380 39480 21 41 10 28  0
10  0   8120 7017008 1526644 4789776    0    0     0  1704 22440 40952 18 32  1 50  0
18 71   8120 7013660 1526652 4790536    0    0     0  5648 19375 34430 22 35 19 24  0
19 19   8120 7011872 1526664 4791280    0    0     0  1832 21310 37834 17 29  1 52  0
27 95   8120 7008112 1526672 4792192    0    0     0   784 21039 36955 27 43  2 27  0
17 281   8120 7007040 1526680 4793948    0    0     0  4944 21853 39303 23 43  0 34  0
19 442   8120 7002364 1526692 4795164    0    0     0   784 20831 36990 26 37  7 30  0
17 19   8120 6984832 1526708 4796080    0    0     0  7404 22668 40525 21 39 10 29  0
 0 584   8120 6979144 1526712 4797544    0    0     0  1508 20109 35468 20 38  1 41  0
26  2   8120 6976920 1526720 4798316    0    0     0  1524 22442 40111 21 36  6 37  0
14 448   8120 6976888 1526728 4799968    0    0     0  2072 23955 42716 21 37  5 37  0
19 142   8120 6957832 1526728 4800336    0    0     0   680 21017 37350 25 41  6 28  0
76 23   8120 6965452 1526740 4800488    0    0     0   600 22671 39327 13 34  6 47  0
23 183   8120 6954440 1526752 4801648    0    0     0   612 19894 35865 26 39  4 31  0
18  0   8120 6949808 1526752 4802924    0    0     0   916 23461 41279 19 31  8 42  0
198 10   8120 6951044 1526764 4803512    0    0     0  1484 22000 39037 15 31  3 51  0
15 59   8120 6945696 1526776 4804864    0    0     0   616 14882 26186 31 51 11  7  0
18 29   8120 6937920 1526776 4806648    0    0     0   904 18569 34131 24 42  5 29  0
 7 310   8120 6935272 1526780 4807336    0    0     0   920 21263 35076 21 34  4 41  0
16 502   8120 6927724 1526796 4808360    0    0     0  1060 22703 39764 17 33  0 50  0
26  0   8120 6892512 1526804 4809032    0    0     0  1596 19628 34472 23 33 21 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14 202   8120 6891256 1526824 4810696    0    0     0  7908 23228 40179 25 46  1 28  0
 0  0   8120 6892384 1526828 4811236    0    0     0   928 11577 20173 14 23 40 23  0
 0  0   8120 7491000 1526836 4806444    0    0     0   660 8435 11030  4 11 85  0  0
 4  0   8120 7488872 1526844 4806432    0    0     0   604 8042 14617  3  9 88  0  0
 0  0   8120 7499636 1526852 4806444    0    0     0  7552 7443 10875  2  6 92  0  0
 0  0   8120 7499932 1526876 4806408    0    0     0  2956 1690 2671  0  1 99  0  0
 0  0   8120 7500408 1526888 4806372    0    0     0  7356 1708 2704  0  1 98  0  0
